Label;Type/Index;C;H;N;O;00_1.645;00_2.215;00_2.315;00_2.745;00_3.685;00_3.855;00_4.445;00_5.115;00_6.135;00_6.925;00_7.125;01_1.645;01_2.215;01_2.315;01_2.745;01_3.685;01_3.855;01_4.445;01_5.115;01_6.135;01_6.925;01_7.125;02_1.645;02_2.215;02_2.315;02_2.745;02_3.685;02_3.855;02_4.445;02_5.115;02_6.135;02_6.925;02_7.125;03_1.645;03_2.215;03_2.315;03_2.745;03_3.685;03_3.855;03_4.445;03_5.115;03_6.135;03_6.925;03_7.125;04_1.645;04_2.215;04_2.315;04_2.745;04_3.685;04_3.855;04_4.445;04_5.115;04_6.135;04_6.925;04_7.125;05_1.645;05_2.215;05_2.315;05_2.745;05_3.685;05_3.855;05_4.445;05_5.115;05_6.135;05_6.925;05_7.125;06_1.645;06_2.215;06_2.315;06_2.745;06_3.685;06_3.855;06_4.445;06_5.115;06_6.135;06_6.925;06_7.125;07_1.645;07_2.215;07_2.315;07_2.745;07_3.685;07_3.855;07_4.445;07_5.115;07_6.135;07_6.925;07_7.125;08_1.645;08_2.215;08_2.315;08_2.745;08_3.685;08_3.855;08_4.445;08_5.115;08_6.135;08_6.925;08_7.125;09_1.645;09_2.215;09_2.315;09_2.745;09_3.685;09_3.855;09_4.445;09_5.115;09_6.135;09_6.925;09_7.125
Explosive;AN;0;0,05;0,35;0,6;2,13E-09;1,20E-09;2,32E-09;2,28E-09;4,42E-09;1,78E-09;2,33E-09;1,02E-09;7,80E-09;2,37E-09;2,22E-09;1,85E-09;1,12E-09;2,70E-09;1,84E-09;4,64E-09;3,60E-09;2,06E-09;1,64E-09;7,70E-09;1,47E-09;2,27E-09;1,44E-09;1,33E-09;1,75E-09;1,87E-09;3,85E-09;2,56E-09;2,18E-09;1,26E-09;6,36E-09;1,17E-09;2,13E-09;1,08E-09;7,04E-10;1,94E-09;1,54E-09;3,65E-09;1,71E-09;1,79E-09;1,39E-09;5,12E-09;1,84E-09;1,86E-09;6,31E-10;7,28E-10;1,80E-09;1,99E-09;3,19E-09;2,05E-09;2,26E-09;1,29E-09;6,05E-09;2,28E-09;1,75E-09;8,83E-10;7,33E-10;1,65E-09;1,98E-09;3,42E-09;2,17E-09;2,18E-09;1,42E-09;5,72E-09;1,44E-09;2,00E-09;9,65E-10;5,27E-10;1,92E-09;1,90E-09;3,40E-09;1,66E-09;1,39E-09;1,08E-09;4,58E-09;1,30E-09;2,34E-09;1,32E-09;9,08E-10;2,18E-09;1,72E-09;3,53E-09;2,32E-09;1,58E-09;9,49E-10;5,61E-09;1,80E-09;2,69E-09;1,16E-09;1,05E-09;1,48E-09;1,72E-09;4,65E-09;2,47E-09;2,19E-09;1,13E-09;8,07E-09;1,69E-09;2,27E-09;2,17E-09;1,03E-09;2,93E-09;1,85E-09;5,25E-09;2,59E-09;1,44E-09;1,65E-09;7,26E-09;2,10E-09;2,36E-09
Explosive;Cl-20;0,164;0,0136;0,3835;0,438;2,39E-09;1,10E-09;2,59E-09;2,02E-09;4,28E-09;1,74E-09;7,88E-09;1,34E-09;6,46E-09;1,84E-09;2,04E-09;2,03E-09;1,12E-09;3,07E-09;1,57E-09;3,93E-09;3,25E-09;7,08E-09;1,86E-09;6,32E-09;1,07E-09;1,91E-09;1,97E-09;1,38E-09;2,24E-09;1,78E-09;3,63E-09;2,51E-09;5,87E-09;2,01E-09;5,62E-09;9,07E-10;1,77E-09;1,22E-09;6,75E-10;2,16E-09;1,36E-09;3,16E-09;1,89E-09;4,32E-09;1,57E-09;4,41E-09;1,71E-09;1,86E-09;8,52E-10;7,73E-10;1,89E-09;1,64E-09;3,01E-09;2,10E-09;5,01E-09;1,47E-09;5,21E-09;2,10E-09;1,61E-09;8,82E-10;7,33E-10;2,05E-09;1,77E-09;2,85E-09;2,08E-09;4,93E-09;1,69E-09;5,06E-09;1,31E-09;1,69E-09;1,19E-09;3,94E-10;2,41E-09;1,45E-09;2,99E-09;1,62E-09;4,49E-09;1,57E-09;3,92E-09;9,88E-10;2,20E-09;1,63E-09;9,08E-10;2,67E-09;1,50E-09;3,35E-09;1,92E-09;5,40E-09;1,08E-09;5,03E-09;1,31E-09;2,47E-09;1,29E-09;1,00E-09;1,92E-09;1,63E-09;4,60E-09;2,61E-09;6,85E-09;1,62E-09;6,91E-09;1,25E-09;2,10E-09;2,30E-09;1,03E-09;3,11E-09;1,70E-09;5,34E-09;2,59E-09;6,93E-09;1,87E-09;6,14E-09;1,70E-09;2,10E-09
Explosive;DMNB;0,409;0,068;0,159;0,36;1,07E-09;1,11E-09;9,89E-10;1,04E-09;1,40E-09;5,44E-10;4,15E-09;4,93E-10;1,36E-09;5,99E-10;4,45E-10;7,81E-10;1,03E-09;7,04E-10;7,22E-10;1,04E-09;1,06E-09;4,24E-09;7,08E-10;1,21E-09;4,52E-10;5,84E-10;9,06E-10;1,27E-09;5,99E-10;7,52E-10;1,28E-09;8,24E-10;3,34E-09;3,24E-10;1,35E-09;3,76E-10;2,21E-10;5,95E-10;4,82E-10;8,33E-10;3,84E-10;1,03E-09;5,13E-10;2,77E-09;3,23E-10;1,26E-09;7,26E-10;4,87E-10;4,78E-10;5,07E-10;4,19E-10;7,91E-10;5,24E-10;4,09E-10;2,42E-09;2,69E-10;1,17E-09;5,90E-10;5,48E-10;5,72E-10;5,09E-10;6,77E-10;9,62E-10;5,89E-10;5,19E-10;2,31E-09;1,78E-10;9,74E-10;1,56E-10;3,54E-10;6,17E-10;3,94E-10;6,82E-10;1,05E-09;5,52E-10;4,21E-10;2,27E-09;2,44E-10;1,08E-09;5,89E-10;4,73E-10;6,20E-10;8,22E-10;8,51E-10;8,33E-10;9,96E-10;4,53E-10;2,43E-09;2,83E-10;9,91E-10;3,68E-10;5,16E-10;7,15E-10;7,34E-10;8,21E-10;1,05E-09;1,28E-09;7,87E-10;3,26E-09;6,35E-10;1,85E-09;2,30E-10;4,56E-10;1,29E-09;9,56E-10;1,01E-09;9,45E-10;1,25E-09;5,52E-10;3,65E-09;1,43E-10;1,79E-09;3,73E-10;4,10E-10
Explosive;EGDN;0,15789;0,026;0,184;0,63157;1,47E-09;1,15E-09;1,44E-09;2,51E-09;4,24E-09;2,00E-09;5,49E-09;5,79E-10;8,02E-09;2,06E-09;2,40E-09;1,05E-09;1,12E-09;1,64E-09;1,70E-09;4,56E-09;2,75E-09;4,95E-09;9,28E-10;7,21E-09;1,56E-09;2,58E-09;1,18E-09;1,41E-09;1,31E-09;1,87E-09;3,23E-09;2,02E-09;4,67E-09;4,58E-10;5,65E-09;1,31E-09;1,91E-09;8,18E-10;7,63E-10;1,32E-09;1,18E-09;3,47E-09;1,62E-09;3,29E-09;8,57E-10;4,89E-09;1,79E-09;2,09E-09;6,75E-10;6,39E-10;9,07E-10;1,99E-09;3,01E-09;2,14E-09;3,44E-09;6,70E-10;5,47E-09;2,10E-09;1,53E-09;7,97E-10;7,31E-10;1,21E-09;1,85E-09;2,89E-09;2,07E-09;3,11E-09;7,10E-10;5,45E-09;1,22E-09;1,64E-09;6,97E-10;4,38E-10;1,08E-09;1,72E-09;3,04E-09;1,22E-09;3,03E-09;5,54E-10;4,32E-09;1,39E-09;2,16E-09;8,80E-10;9,08E-10;1,87E-09;1,73E-09;3,26E-09;1,96E-09;4,29E-09;6,82E-10;4,90E-09;1,76E-09;2,65E-09;1,07E-09;1,09E-09;9,48E-10;1,67E-09;3,94E-09;2,30E-09;4,28E-09;9,15E-10;8,37E-09;1,47E-09;1,79E-09;1,59E-09;9,95E-10;1,82E-09;1,76E-09;4,72E-09;1,97E-09;4,36E-09;7,20E-10;6,86E-09;1,93E-09;2,32E-09
Explosive;HMTD;0,346;0,057;0,1346;0,46;1,24E-09;1,10E-09;1,31E-09;1,80E-09;3,31E-09;1,20E-09;9,70E-09;5,34E-10;5,70E-09;1,71E-09;1,51E-09;1,14E-09;1,17E-09;1,20E-09;1,80E-09;3,14E-09;2,49E-09;8,15E-09;7,12E-10;5,92E-09;8,95E-10;1,69E-09;1,27E-09;1,36E-09;1,05E-09;1,55E-09;2,69E-09;1,58E-09;8,09E-09;5,02E-10;4,50E-09;9,52E-10;1,28E-09;5,47E-10;5,27E-10;8,28E-10;9,58E-10;2,37E-09;9,58E-10;5,20E-09;5,01E-10;3,83E-09;1,31E-09;1,73E-09;5,00E-10;7,28E-10;8,27E-10;1,59E-09;2,30E-09;1,78E-09;6,19E-09;3,14E-10;4,36E-09;1,83E-09;1,30E-09;7,04E-10;5,53E-10;8,54E-10;1,54E-09;2,27E-09;1,19E-09;5,24E-09;2,67E-10;3,86E-09;1,04E-09;1,29E-09;7,41E-10;4,83E-10;1,04E-09;1,50E-09;2,30E-09;1,13E-09;5,60E-09;7,38E-10;3,16E-09;1,03E-09;1,63E-09;8,90E-10;9,53E-10;8,46E-10;1,32E-09;2,46E-09;1,34E-09;6,77E-09;9,04E-10;4,24E-09;1,30E-09;1,80E-09;8,96E-10;9,07E-10;1,30E-09;1,58E-09;2,74E-09;1,98E-09;9,03E-09;9,87E-10;5,80E-09;1,21E-09;1,74E-09;1,24E-09;1,05E-09;1,37E-09;1,53E-09;3,56E-09;1,70E-09;9,86E-09;4,11E-10;5,04E-09;1,22E-09;1,74E-09
Explosive;HMX;0,162;0,027;0,378;0,4324;2,57E-09;1,06E-09;2,59E-09;1,84E-09;3,93E-09;1,65E-09;7,18E-09;1,07E-09;5,93E-09;1,66E-09;1,82E-09;1,90E-09;1,12E-09;2,71E-09;1,57E-09;3,89E-09;3,07E-09;6,90E-09;1,82E-09;6,23E-09;1,03E-09;1,96E-09;1,79E-09;1,33E-09;2,06E-09;1,65E-09;3,68E-09;2,47E-09;5,91E-09;1,66E-09;5,08E-09;9,07E-10;1,55E-09;1,08E-09;6,30E-10;2,03E-09;1,23E-09;3,16E-09;1,45E-09;3,92E-09;1,43E-09;3,97E-09;1,48E-09;1,55E-09;7,64E-10;7,28E-10;1,89E-09;1,73E-09;2,87E-09;2,05E-09;4,70E-09;1,34E-09;4,89E-09;2,01E-09;1,44E-09;9,26E-10;7,33E-10;1,83E-09;1,63E-09;3,07E-09;1,94E-09;4,13E-09;1,46E-09;4,92E-09;1,13E-09;1,51E-09;1,19E-09;4,38E-10;1,88E-09;1,50E-09;2,73E-09;1,48E-09;4,05E-09;1,13E-09;3,52E-09;9,88E-10;1,89E-09;1,51E-09;9,08E-10;2,58E-09;1,41E-09;3,08E-09;1,96E-09;5,13E-09;1,21E-09;4,95E-09;1,40E-09;2,29E-09;1,11E-09;9,13E-10;1,75E-09;1,71E-09;4,20E-09;2,30E-09;6,32E-09;1,71E-09;6,73E-09;1,25E-09;1,96E-09;2,04E-09;1,03E-09;2,97E-09;1,61E-09;4,81E-09;2,46E-09;6,35E-09;1,79E-09;5,88E-09;1,61E-09;1,88E-09
Explosive;NG;0,15859;0,022;0,185;0,634;1,38E-09;1,15E-09;1,48E-09;2,51E-09;4,46E-09;2,09E-09;6,19E-09;6,23E-10;8,51E-09;2,15E-09;2,53E-09;1,18E-09;1,17E-09;1,55E-09;1,75E-09;4,87E-09;3,02E-09;5,21E-09;8,83E-10;7,83E-09;1,52E-09;2,54E-09;1,22E-09;1,41E-09;1,40E-09;2,05E-09;3,18E-09;2,11E-09;5,11E-09;4,13E-10;6,37E-09;1,53E-09;2,09E-09;1,04E-09;7,63E-10;1,41E-09;1,49E-09;3,61E-09;1,71E-09;3,83E-09;9,46E-10;5,12E-09;1,88E-09;1,95E-09;6,30E-10;6,39E-10;9,06E-10;2,03E-09;3,28E-09;2,10E-09;3,93E-09;8,47E-10;5,87E-09;2,14E-09;1,57E-09;8,38E-10;7,31E-10;1,39E-09;1,85E-09;3,03E-09;2,30E-09;3,16E-09;6,21E-10;6,17E-09;1,40E-09;1,68E-09;6,09E-10;4,83E-10;1,04E-09;1,76E-09;3,08E-09;1,40E-09;2,98E-09;6,43E-10;4,63E-09;1,43E-09;2,38E-09;1,10E-09;9,08E-10;1,56E-09;1,82E-09;3,39E-09;2,09E-09;4,29E-09;6,82E-10;5,21E-09;1,80E-09;2,74E-09;1,20E-09;1,14E-09;1,04E-09;1,63E-09;4,20E-09;2,30E-09;4,90E-09;8,25E-10;8,82E-09;1,52E-09;1,92E-09;1,73E-09;9,95E-10;1,91E-09;1,76E-09;4,85E-09;2,02E-09;4,67E-09;7,64E-10;6,99E-09;1,93E-09;2,81E-09
Explosive;NM;0,196;0,049;0,2295;0,52459;1,82E-09;1,11E-09;1,21E-09;2,02E-09;2,81E-09;9,80E-10;5,22E-09;5,80E-10;5,49E-09;1,31E-09;1,38E-09;1,22E-09;1,03E-09;1,50E-09;1,17E-09;3,04E-09;2,22E-09;5,05E-09;7,93E-10;4,81E-09;9,40E-10;1,78E-09;1,31E-09;1,41E-09;1,22E-09;1,57E-09;2,91E-09;1,80E-09;4,76E-09;8,12E-10;4,10E-09;7,31E-10;1,20E-09;7,28E-10;6,16E-10;1,23E-09;1,09E-09;2,45E-09;1,31E-09;2,76E-09;7,25E-10;2,99E-09;1,26E-09;1,42E-09;5,88E-10;5,95E-10;8,17E-10;1,55E-09;2,08E-09;1,52E-09;3,55E-09;6,69E-10;3,65E-09;1,70E-09;9,47E-10;7,96E-10;6,87E-10;1,03E-09;1,72E-09;2,18E-09;1,63E-09;2,89E-09;5,32E-10;3,55E-09;9,56E-10;1,06E-09;8,33E-10;4,83E-10;9,03E-10;1,45E-09;2,24E-09;8,66E-10;2,94E-09;5,53E-10;2,77E-09;9,89E-10;1,58E-09;8,38E-10;9,08E-10;1,43E-09;1,28E-09;2,11E-09;1,44E-09;3,98E-09;5,05E-10;3,17E-09;1,18E-09;1,81E-09;8,51E-10;8,66E-10;1,13E-09;1,58E-09;3,01E-09;2,08E-09;4,50E-09;9,47E-10;5,27E-09;8,51E-10;1,52E-09;1,55E-09;9,95E-10;1,46E-09;1,40E-09;3,39E-09;1,66E-09;4,49E-09;5,42E-10;4,46E-09;1,22E-09;1,52E-09
Explosive;PETN;0,1898;0,025;0,177;0,607;1,55E-09;1,10E-09;1,62E-09;2,55E-09;4,19E-09;2,09E-09;7,04E-09;6,68E-10;8,37E-09;2,33E-09;2,44E-09;1,36E-09;1,17E-09;1,56E-09;1,84E-09;5,04E-09;3,20E-09;6,24E-09;1,02E-09;8,10E-09;1,61E-09;2,76E-09;1,31E-09;1,31E-09;1,08E-09;2,09E-09;3,41E-09;2,38E-09;5,82E-09;5,47E-10;6,41E-09;1,40E-09;2,40E-09;9,91E-10;6,31E-10;1,54E-09;1,53E-09;3,65E-09;1,67E-09;4,36E-09;8,12E-10;5,25E-09;2,11E-09;1,86E-09;4,97E-10;8,17E-10;7,37E-10;1,86E-09;3,23E-09;2,23E-09;4,37E-09;6,69E-10;6,27E-09;2,23E-09;1,70E-09;6,16E-10;8,21E-10;1,12E-09;1,98E-09;2,80E-09;2,16E-09;4,00E-09;7,55E-10;6,34E-09;1,59E-09;1,95E-09;7,42E-10;4,83E-10;1,35E-09;1,99E-09;2,99E-09;1,80E-09;3,52E-09;5,09E-10;4,37E-09;1,48E-09;2,56E-09;9,25E-10;9,08E-10;1,79E-09;1,90E-09;3,79E-09;2,31E-09;4,78E-09;6,82E-10;5,75E-09;1,93E-09;2,87E-09;1,16E-09;1,05E-09;9,92E-10;1,71E-09;4,25E-09;2,39E-09;6,19E-09;9,10E-10;8,46E-09;1,92E-09;2,05E-09;1,82E-09;1,12E-09;1,94E-09;1,75E-09;5,16E-09;2,24E-09;6,36E-09;8,53E-10;7,57E-09;2,10E-09;2,86E-09
Explosive;Picric acid;0,3144;0,013;0,1834;0,489;1,91E-09;1,15E-09;1,66E-09;2,15E-09;3,74E-09;1,56E-09;1,05E-08;6,68E-10;7,27E-09;1,84E-09;2,09E-09;1,45E-09;1,08E-09;1,46E-09;1,48E-09;4,11E-09;2,62E-09;8,64E-09;9,72E-10;6,59E-09;1,12E-09;2,27E-09;1,31E-09;1,42E-09;1,26E-09;1,69E-09;3,01E-09;2,24E-09;8,66E-09;7,69E-10;5,97E-09;1,04E-09;1,82E-09;8,62E-10;6,87E-10;1,40E-09;1,09E-09;3,21E-09;1,31E-09;6,14E-09;6,80E-10;4,68E-09;1,71E-09;1,69E-09;6,42E-10;7,28E-10;8,62E-10;1,72E-09;3,01E-09;1,92E-09;6,38E-09;7,14E-10;5,43E-09;1,79E-09;1,44E-09;6,16E-10;7,77E-10;1,30E-09;1,76E-09;2,72E-09;1,85E-09;5,64E-09;7,55E-10;4,70E-09;1,31E-09;1,42E-09;7,87E-10;4,38E-10;1,35E-09;1,50E-09;2,77E-09;1,49E-09;5,87E-09;6,94E-10;3,87E-09;1,08E-09;2,21E-09;8,58E-10;8,64E-10;1,47E-09;1,63E-09;3,00E-09;1,87E-09;7,26E-09;5,49E-10;4,77E-09;1,67E-09;2,25E-09;8,89E-10;1,19E-09;1,08E-09;1,58E-09;3,76E-09;2,21E-09;9,96E-09;1,00E-09;7,00E-09;1,12E-09;1,70E-09;1,41E-09;9,87E-10;1,73E-09;1,80E-09;4,27E-09;2,19E-09;9,95E-09;7,63E-10;5,88E-09;1,57E-09;2,23E-09
Non-Explosive;1;0,046171391;0,097131781;0,823457828;0,033239;3,20E-09;1,15E-09;3,34E-09;9,54E-10;1,71E-09;1,16E-09;3,36E-09;1,95E-09;3,78E-10;3,33E-10;1,34E-10;2,70E-09;9,01E-10;3,01E-09;6,82E-10;1,66E-09;1,69E-09;2,64E-09;2,08E-09;4,12E-10;1,40E-10;1,84E-10;2,06E-09;1,29E-09;3,22E-09;5,33E-10;1,76E-09;1,45E-09;2,40E-09;1,88E-09;5,07E-10;2,43E-10;2,22E-10;1,21E-09;5,26E-10;3,15E-09;2,95E-10;1,94E-09;1,00E-09;2,77E-09;1,97E-09;4,60E-10;5,95E-10;1,34E-10;1,08E-09;4,62E-10;2,42E-09;6,59E-10;1,37E-09;8,54E-10;3,10E-09;1,56E-09;3,21E-10;1,45E-10;1,48E-10;1,15E-09;5,99E-10;2,63E-09;7,40E-10;1,70E-09;9,21E-10;2,14E-09;1,82E-09;1,33E-10;2,00E-10;2,22E-10;1,32E-09;3,50E-10;3,08E-09;6,11E-10;1,57E-09;9,99E-10;2,01E-09;2,33E-09;2,78E-10;3,22E-10;1,63E-10;1,73E-09;7,72E-10;2,84E-09;5,24E-10;1,35E-09;6,76E-10;2,16E-09;1,97E-09;1,92E-10;1,47E-10;2,52E-10;1,65E-09;7,29E-10;2,77E-09;8,27E-10;1,67E-09;1,54E-09;3,08E-09;2,10E-09;6,51E-10;5,06E-11;1,45E-10;2,57E-09;9,56E-10;3,06E-09;8,59E-10;1,92E-09;1,62E-09;3,03E-09;1,92E-09;4,60E-10;2,39E-10;9,96E-11
Non-Explosive;2;0,034446081;0,43874436;0,381558457;0,145251103;1,95E-09;1,10E-09;2,19E-09;1,13E-09;1,44E-09;5,82E-10;1,71E-09;8,01E-10;1,27E-09;5,10E-10;3,56E-10;1,64E-09;1,04E-09;1,78E-09;7,27E-10;1,63E-09;1,33E-09;1,66E-09;8,81E-10;1,26E-09;2,73E-10;4,06E-10;1,45E-09;1,22E-09;1,67E-09;7,12E-10;1,14E-09;9,57E-10;1,43E-09;8,56E-10;1,17E-09;4,65E-10;4,00E-10;1,01E-09;4,82E-10;1,59E-09;4,73E-10;1,39E-09;3,76E-10;1,08E-09;9,88E-10;9,84E-10;5,95E-10;3,99E-10;6,30E-10;5,51E-10;1,35E-09;7,94E-10;1,01E-09;8,10E-10;1,66E-09;9,81E-10;1,17E-09;3,69E-10;3,24E-10;8,82E-10;7,31E-10;1,08E-09;7,84E-10;1,12E-09;6,07E-10;1,16E-09;9,35E-10;9,32E-10;2,88E-10;3,99E-10;1,20E-09;4,84E-10;1,60E-09;9,27E-10;1,53E-09;5,99E-10;1,48E-09;1,04E-09;9,45E-10;4,57E-10;6,51E-10;1,47E-09;7,74E-10;1,86E-09;6,51E-10;1,49E-09;5,41E-10;1,40E-09;1,21E-09;9,48E-10;3,36E-10;6,06E-10;1,65E-09;7,24E-10;1,57E-09;8,67E-10;1,23E-09;9,65E-10;1,74E-09;1,26E-09;1,58E-09;2,27E-10;4,12E-10;1,85E-09;1,04E-09;2,04E-09;1,03E-09;1,39E-09;9,46E-10;1,69E-09;8,97E-10;1,12E-09;5,08E-10;6,76E-10
Non-Explosive;3;0,54721553;0,138624443;0,149294006;0,164866022;1,55E-09;1,06E-09;1,25E-09;1,27E-09;1,88E-09;7,59E-10;1,56E-08;6,67E-10;2,16E-09;9,10E-10;7,13E-10;1,36E-09;1,04E-09;1,20E-09;9,00E-10;1,76E-09;1,20E-09;1,29E-08;5,72E-10;2,19E-09;3,67E-10;6,28E-10;1,40E-09;1,23E-09;9,96E-10;7,15E-10;1,14E-09;9,57E-10;1,12E-08;5,02E-10;2,02E-09;4,63E-10;6,66E-10;6,43E-10;5,30E-10;1,28E-09;6,50E-10;1,53E-09;6,90E-10;8,41E-09;6,78E-10;2,01E-09;9,97E-10;4,43E-10;4,53E-10;5,07E-10;7,30E-10;7,51E-10;1,01E-09;1,03E-09;8,41E-09;4,03E-10;2,19E-09;5,46E-10;4,15E-10;9,30E-10;5,53E-10;9,91E-10;1,06E-09;1,17E-09;7,85E-10;7,52E-09;5,77E-10;2,04E-09;5,99E-10;4,43E-10;6,09E-10;4,85E-10;1,36E-09;9,69E-10;1,18E-09;9,54E-10;7,82E-09;6,87E-10;1,48E-09;7,22E-10;6,07E-10;1,06E-09;7,27E-10;1,28E-09;9,67E-10;1,44E-09;8,07E-10;1,04E-08;7,70E-10;1,92E-09;4,26E-10;7,82E-10;1,16E-09;8,20E-10;1,39E-09;9,54E-10;1,14E-09;9,64E-10;1,40E-08;1,12E-09;2,21E-09;4,50E-10;5,90E-10;1,51E-09;8,08E-10;1,37E-09;1,21E-09;1,65E-09;7,71E-10;1,54E-08;4,54E-10;1,83E-09;8,16E-10;5,89E-10
Non-Explosive;4;0,349983766;0,19659525;0,251083858;0,202337126;1,74E-09;1,11E-09;1,30E-09;1,05E-09;1,48E-09;6,70E-10;7,48E-09;6,68E-10;1,80E-09;7,32E-10;6,25E-10;1,55E-09;1,01E-09;1,29E-09;9,90E-10;1,41E-09;1,42E-09;7,00E-09;8,84E-10;2,01E-09;3,17E-10;8,05E-10;1,31E-09;1,17E-09;1,26E-09;6,18E-10;1,23E-09;7,80E-10;5,51E-09;4,57E-10;1,53E-09;4,64E-10;4,88E-10;7,78E-10;4,82E-10;1,68E-09;5,61E-10;1,44E-09;5,12E-10;4,55E-09;8,11E-10;1,70E-09;8,63E-10;3,54E-10;4,97E-10;5,07E-10;6,41E-10;8,89E-10;9,22E-10;8,10E-10;4,37E-09;5,38E-10;1,88E-09;5,46E-10;2,37E-10;7,05E-10;5,53E-10;1,08E-09;9,63E-10;1,25E-09;6,96E-10;3,82E-09;6,22E-10;1,73E-09;4,22E-10;3,11E-10;8,35E-10;4,85E-10;1,30E-09;9,46E-10;1,09E-09;8,22E-10;4,00E-09;7,30E-10;1,39E-09;5,44E-10;6,95E-10;1,06E-09;8,16E-10;1,19E-09;7,45E-10;1,26E-09;9,41E-10;4,96E-09;9,04E-10;1,61E-09;2,92E-10;5,60E-10;1,29E-09;8,59E-10;1,35E-09;1,05E-09;1,14E-09;1,05E-09;6,10E-09;8,58E-10;2,25E-09;5,38E-10;5,44E-10;1,37E-09;8,62E-10;1,68E-09;1,08E-09;1,74E-09;9,06E-10;7,26E-09;4,09E-10;1,83E-09;5,49E-10;4,56E-10
Non-Explosive;5;0,07585429;0,053950119;0,530797553;0,339398039;2,88E-09;1,11E-09;3,12E-09;1,49E-09;3,44E-09;1,34E-09;4,73E-09;1,55E-09;3,98E-09;1,18E-09;1,33E-09;2,30E-09;1,03E-09;3,15E-09;1,35E-09;3,45E-09;2,44E-09;4,28E-09;2,05E-09;4,23E-09;9,40E-10;1,43E-09;1,88E-09;1,32E-09;2,42E-09;1,19E-09;3,14E-09;1,98E-09;3,82E-09;2,01E-09;3,79E-09;5,53E-10;1,20E-09;1,12E-09;4,82E-10;2,57E-09;8,27E-10;2,80E-09;1,36E-09;3,21E-09;1,74E-09;3,30E-09;9,06E-10;1,02E-09;8,09E-10;6,84E-10;2,25E-09;1,19E-09;2,47E-09;1,52E-09;3,32E-09;1,25E-09;3,39E-09;1,61E-09;1,17E-09;1,24E-09;6,44E-10;2,18E-09;1,41E-09;2,63E-09;1,63E-09;3,02E-09;1,73E-09;3,02E-09;6,88E-10;9,77E-10;1,36E-09;4,38E-10;2,23E-09;1,50E-09;2,33E-09;1,31E-09;2,32E-09;1,44E-09;2,59E-09;9,88E-10;1,31E-09;1,69E-09;8,15E-10;2,71E-09;1,23E-09;2,91E-09;1,83E-09;3,44E-09;1,75E-09;3,21E-09;6,79E-10;1,81E-09;1,47E-09;8,65E-10;2,24E-09;1,45E-09;3,49E-09;2,38E-09;4,10E-09;1,98E-09;4,56E-09;8,49E-10;1,34E-09;2,21E-09;1,04E-09;3,38E-09;1,23E-09;4,23E-09;2,06E-09;4,27E-09;2,05E-09;4,01E-09;9,49E-10;1,30E-09
Non-Explosive;6;0,084435846;0,399782649;0,259870403;0,255911103;1,64E-09;1,10E-09;1,61E-09;9,52E-10;1,97E-09;7,17E-10;2,82E-09;7,13E-10;2,65E-09;9,99E-10;5,78E-10;1,81E-09;1,04E-09;1,33E-09;9,50E-10;1,86E-09;1,33E-09;2,51E-09;7,93E-10;2,23E-09;4,06E-10;6,27E-10;1,45E-09;1,31E-09;1,32E-09;6,68E-10;1,14E-09;1,00E-09;1,87E-09;6,39E-10;1,71E-09;6,86E-10;9,33E-10;1,00E-09;5,27E-10;1,55E-09;5,61E-10;1,56E-09;5,55E-10;1,61E-09;5,89E-10;1,69E-09;8,17E-10;8,43E-10;4,97E-10;5,95E-10;9,07E-10;8,38E-10;1,28E-09;8,98E-10;1,98E-09;7,15E-10;2,14E-09;6,79E-10;5,47E-10;8,84E-10;6,86E-10;9,88E-10;1,14E-09;1,43E-09;8,73E-10;1,60E-09;6,22E-10;2,04E-09;6,00E-10;4,00E-10;1,12E-09;7,06E-10;1,18E-09;9,68E-10;1,31E-09;6,48E-10;1,70E-09;5,53E-10;1,92E-09;6,78E-10;8,29E-10;1,33E-09;7,71E-10;1,36E-09;9,61E-10;1,71E-09;7,62E-10;1,80E-09;9,90E-10;1,97E-09;5,57E-10;8,27E-10;1,51E-09;7,26E-10;1,35E-09;1,09E-09;1,63E-09;1,23E-09;2,81E-09;1,03E-09;2,70E-09;4,49E-10;7,22E-10;1,54E-09;1,13E-09;1,73E-09;8,97E-10;1,74E-09;9,47E-10;2,77E-09;5,87E-10;2,01E-09;6,37E-10;8,98E-10
